Dataset,Group,Mode,Algorithm,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Time_s,n_samples,n_classes,IR
vehicle,B,oversample,XGBoost,0.9791,0.0063,0.9794,0.0061,0.057,1294,2,3.25
vehicle,B,oversample,LGBM,0.9814,0.0067,0.9816,0.0067,0.123,1294,2,3.25
vehicle,B,oversample,RFF_binary,0.762,0.0293,0.808,0.0197,0.131,1294,2,3.25
vehicle,B,cost_sensitive,LogReg,0.9634,0.0155,0.9271,0.0292,0.005,846,2,3.25
vehicle,B,cost_sensitive,Bagging,0.9516,0.0195,0.8976,0.0412,0.133,846,2,3.25
vehicle,B,cost_sensitive,RandomForest,0.9622,0.0137,0.9187,0.03,0.123,846,2,3.25
vehicle,B,cost_sensitive,AdaBoost,0.9622,0.0137,0.9206,0.0271,0.071,846,2,3.25
vehicle,B,cost_sensitive,GradBoost,0.9646,0.0105,0.9239,0.024,0.188,846,2,3.25
vehicle,B,cost_sensitive,Stacking,0.9681,0.0177,0.9318,0.038,0.34,846,2,3.25
vehicle,B,cost_sensitive,XGBoost,0.9645,0.0135,0.9244,0.0276,0.125,846,2,3.25
vehicle,B,cost_sensitive,LGBM,0.9657,0.0087,0.9278,0.0179,0.085,846,2,3.25
vehicle,B,cost_sensitive,RFF_binary,0.773,0.0081,0.1037,0.0954,0.096,846,2,3.25
australian,A,vanilla,LogReg,0.8681,0.0298,0.867,0.0302,0.002,690,2,1.25
australian,A,vanilla,Bagging,0.8565,0.0253,0.8549,0.0252,0.126,690,2,1.25
australian,A,vanilla,RandomForest,0.8638,0.0319,0.8619,0.0318,0.115,690,2,1.25
australian,A,vanilla,AdaBoost,0.8609,0.0501,0.8595,0.0507,0.062,690,2,1.25
australian,A,vanilla,GradBoost,0.8652,0.0401,0.8634,0.0405,0.131,690,2,1.25
australian,A,vanilla,Stacking,0.8565,0.0316,0.8556,0.0316,0.3,690,2,1.25
australian,A,vanilla,XGBoost,0.8522,0.0336,0.8501,0.0339,0.107,690,2,1.25
australian,A,vanilla,LGBM,0.8536,0.0464,0.8516,0.0468,0.118,690,2,1.25
australian,A,vanilla,RFF_binary,0.813,0.0277,0.802,0.0307,0.08,690,2,1.25
balance,A,vanilla,LogReg,0.952,0.0134,0.9514,0.0138,0.002,625,2,1.17
balance,A,vanilla,Bagging,0.8944,0.0217,0.8936,0.0217,0.069,625,2,1.17
balance,A,vanilla,RandomForest,0.8912,0.0148,0.8904,0.0147,0.092,625,2,1.17
balance,A,vanilla,AdaBoost,0.9792,0.0109,0.9791,0.0109,0.047,625,2,1.17
balance,A,vanilla,GradBoost,0.9104,0.0185,0.9097,0.0187,0.067,625,2,1.17
balance,A,vanilla,Stacking,0.952,0.0134,0.9514,0.0138,0.206,625,2,1.17
balance,A,vanilla,XGBoost,0.9264,0.0185,0.9257,0.0187,0.109,625,2,1.17
balance,A,vanilla,LGBM,0.9136,0.0192,0.913,0.0195,0.085,625,2,1.17
balance,A,vanilla,RFF_binary,0.8912,0.0298,0.8874,0.0313,0.058,625,2,1.17
bupa,A,vanilla,LogReg,0.6812,0.0527,0.6587,0.0579,0.002,345,2,1.38
bupa,A,vanilla,Bagging,0.7101,0.0542,0.6941,0.0598,0.09,345,2,1.38
bupa,A,vanilla,RandomForest,0.7362,0.0393,0.7176,0.0396,0.103,345,2,1.38
bupa,A,vanilla,AdaBoost,0.7275,0.0323,0.7107,0.0357,0.051,345,2,1.38
bupa,A,vanilla,GradBoost,0.7304,0.0473,0.7132,0.0532,0.077,345,2,1.38
bupa,A,vanilla,Stacking,0.742,0.0488,0.7283,0.0453,0.216,345,2,1.38
bupa,A,vanilla,XGBoost,0.7333,0.0385,0.719,0.0411,0.085,345,2,1.38
bupa,A,vanilla,LGBM,0.742,0.0514,0.729,0.0529,0.048,345,2,1.38
bupa,A,vanilla,RFF_binary,0.5797,0.0,0.367,0.0,0.048,345,2,1.38
german,A,vanilla,LogReg,0.768,0.015,0.6983,0.0215,0.002,1000,2,2.33
german,A,vanilla,Bagging,0.769,0.0124,0.6997,0.0163,0.147,1000,2,2.33
german,A,vanilla,RandomForest,0.774,0.0058,0.6872,0.0093,0.122,1000,2,2.33
german,A,vanilla,AdaBoost,0.75,0.0089,0.678,0.0115,0.058,1000,2,2.33
german,A,vanilla,GradBoost,0.778,0.0144,0.7128,0.0194,0.127,1000,2,2.33
german,A,vanilla,Stacking,0.774,0.0037,0.6945,0.0112,0.548,1000,2,2.33
german,A,vanilla,XGBoost,0.77,0.023,0.711,0.0245,0.108,1000,2,2.33
german,A,vanilla,LGBM,0.766,0.0143,0.7086,0.0167,0.116,1000,2,2.33
german,A,vanilla,RFF_binary,0.701,0.002,0.4153,0.007,0.107,1000,2,2.33
heart,A,vanilla,LogReg,0.837,0.0489,0.8332,0.0521,0.002,270,2,1.25
heart,A,vanilla,Bagging,0.7926,0.084,0.7872,0.0861,0.072,270,2,1.25
heart,A,vanilla,RandomForest,0.8074,0.0746,0.8033,0.0766,0.086,270,2,1.25
heart,A,vanilla,AdaBoost,0.8074,0.0679,0.8019,0.0702,0.045,270,2,1.25
heart,A,vanilla,GradBoost,0.7926,0.059,0.7882,0.0603,0.076,270,2,1.25
heart,A,vanilla,Stacking,0.8296,0.0359,0.8256,0.0374,0.195,270,2,1.25
heart,A,vanilla,XGBoost,0.8,0.0716,0.7945,0.0741,0.077,270,2,1.25
heart,A,vanilla,LGBM,0.8074,0.0689,0.8026,0.071,0.036,270,2,1.25
heart,A,vanilla,RFF_binary,0.8111,0.0272,0.8069,0.0285,0.057,270,2,1.25
iono,A,vanilla,LogReg,0.8859,0.0454,0.8692,0.0531,0.002,351,2,1.79
iono,A,vanilla,Bagging,0.9258,0.0344,0.9185,0.0374,0.178,351,2,1.79
iono,A,vanilla,RandomForest,0.9287,0.024,0.9216,0.026,0.118,351,2,1.79
iono,A,vanilla,AdaBoost,0.9401,0.0419,0.9334,0.0463,0.08,351,2,1.79
iono,A,vanilla,GradBoost,0.9344,0.0309,0.927,0.0347,0.251,351,2,1.79
iono,A,vanilla,Stacking,0.9373,0.0214,0.9302,0.0243,0.275,351,2,1.79
iono,A,vanilla,XGBoost,0.9202,0.0369,0.9112,0.0413,0.091,351,2,1.79
iono,A,vanilla,LGBM,0.9401,0.0168,0.9335,0.0189,0.088,351,2,1.79
iono,A,vanilla,RFF_binary,0.8289,0.0319,0.8046,0.0379,0.07,351,2,1.79
newthyroid,A,vanilla,LogReg,0.8744,0.0237,0.8318,0.0326,0.002,215,2,2.31
newthyroid,A,vanilla,Bagging,0.9442,0.0522,0.9309,0.0651,0.063,215,2,2.31
newthyroid,A,vanilla,RandomForest,0.9628,0.0315,0.954,0.0393,0.081,215,2,2.31
newthyroid,A,vanilla,AdaBoost,0.9535,0.0389,0.9426,0.0499,0.056,215,2,2.31
newthyroid,A,vanilla,GradBoost,0.9395,0.0315,0.9258,0.0385,0.064,215,2,2.31
newthyroid,A,vanilla,Stacking,0.9581,0.0271,0.9497,0.0322,0.18,215,2,2.31
newthyroid,A,vanilla,XGBoost,0.9535,0.0147,0.9435,0.0168,0.054,215,2,2.31
newthyroid,A,vanilla,LGBM,0.9674,0.0237,0.9608,0.0286,0.046,215,2,2.31
newthyroid,A,vanilla,RFF_binary,0.7209,0.0294,0.481,0.0878,0.043,215,2,2.31
pima,A,vanilla,LogReg,0.7747,0.0147,0.7374,0.0111,0.002,768,2,1.87
pima,A,vanilla,Bagging,0.7564,0.0263,0.7236,0.0278,0.127,768,2,1.87
pima,A,vanilla,RandomForest,0.7617,0.0215,0.7268,0.0223,0.12,768,2,1.87
pima,A,vanilla,AdaBoost,0.7578,0.0245,0.7254,0.0242,0.058,768,2,1.87
pima,A,vanilla,GradBoost,0.7617,0.0156,0.7326,0.0143,0.132,768,2,1.87
pima,A,vanilla,Stacking,0.7656,0.0176,0.7292,0.0206,0.305,768,2,1.87
pima,A,vanilla,XGBoost,0.7473,0.0201,0.7152,0.0262,0.101,768,2,1.87
pima,A,vanilla,LGBM,0.7551,0.0249,0.7256,0.0305,0.089,768,2,1.87
pima,A,vanilla,RFF_binary,0.651,0.0021,0.3943,0.0008,0.068,768,2,1.87
sonar,A,vanilla,LogReg,0.7836,0.0262,0.7806,0.0274,0.004,208,2,1.14
sonar,A,vanilla,Bagging,0.77,0.0805,0.7641,0.0827,0.17,208,2,1.14
sonar,A,vanilla,RandomForest,0.8036,0.0632,0.7994,0.0634,0.105,208,2,1.14
sonar,A,vanilla,AdaBoost,0.7985,0.0608,0.7948,0.0611,0.084,208,2,1.14
sonar,A,vanilla,GradBoost,0.8125,0.0467,0.8105,0.048,0.268,208,2,1.14
sonar,A,vanilla,Stacking,0.7168,0.1004,0.7088,0.1009,0.266,208,2,1.14
sonar,A,vanilla,XGBoost,0.8369,0.0799,0.8352,0.0799,0.056,208,2,1.14
sonar,A,vanilla,LGBM,0.8369,0.0657,0.8353,0.0648,0.037,208,2,1.14
sonar,A,vanilla,RFF_binary,0.6492,0.0625,0.6174,0.0782,0.09,208,2,1.14
spambase,A,vanilla,LogReg,0.9245,0.0097,0.9204,0.0105,0.014,4597,2,1.54
spambase,A,vanilla,Bagging,0.9434,0.0078,0.9406,0.0082,1.979,4597,2,1.54
spambase,A,vanilla,RandomForest,0.9534,0.0071,0.951,0.0076,0.471,4597,2,1.54
spambase,A,vanilla,AdaBoost,0.9267,0.0073,0.9226,0.0078,0.254,4597,2,1.54
spambase,A,vanilla,GradBoost,0.9458,0.0064,0.943,0.0067,1.152,4597,2,1.54
spambase,A,vanilla,Stacking,0.9556,0.0069,0.9533,0.0073,2.02,4597,2,1.54
spambase,A,vanilla,XGBoost,0.9554,0.0055,0.9532,0.0057,0.203,4597,2,1.54
spambase,A,vanilla,LGBM,0.9571,0.0071,0.9551,0.0074,0.134,4597,2,1.54
spambase,A,vanilla,RFF_binary,0.6337,0.0448,0.4462,0.1029,1.195,4597,2,1.54
wine,A,vanilla,LogReg,0.9944,0.0111,0.9939,0.0123,0.001,178,2,2.02
wine,A,vanilla,Bagging,0.9492,0.0417,0.9425,0.0472,0.062,178,2,2.02
wine,A,vanilla,RandomForest,0.983,0.0139,0.9806,0.0159,0.081,178,2,2.02
wine,A,vanilla,AdaBoost,0.9605,0.0227,0.9553,0.026,0.047,178,2,2.02
wine,A,vanilla,GradBoost,0.9437,0.0183,0.9357,0.0227,0.079,178,2,2.02
wine,A,vanilla,Stacking,0.9944,0.0111,0.9939,0.0123,0.17,178,2,2.02
wine,A,vanilla,XGBoost,0.9603,0.0389,0.9542,0.0451,0.024,178,2,2.02
wine,A,vanilla,LGBM,0.9603,0.0293,0.9541,0.035,0.034,178,2,2.02
wine,A,vanilla,RFF_binary,0.8763,0.0527,0.8557,0.065,0.053,178,2,2.02
wdbc,A,vanilla,LogReg,0.9737,0.0166,0.9714,0.0183,0.002,569,2,1.68
wdbc,A,vanilla,Bagging,0.9561,0.0192,0.9524,0.0215,0.182,569,2,1.68
wdbc,A,vanilla,RandomForest,0.9561,0.0078,0.9528,0.0084,0.126,569,2,1.68
wdbc,A,vanilla,AdaBoost,0.9596,0.0119,0.9564,0.013,0.096,569,2,1.68
wdbc,A,vanilla,GradBoost,0.9508,0.018,0.9469,0.0198,0.333,569,2,1.68
wdbc,A,vanilla,Stacking,0.9789,0.0119,0.9772,0.013,0.284,569,2,1.68
wdbc,A,vanilla,XGBoost,0.9631,0.0102,0.9606,0.0108,0.059,569,2,1.68
wdbc,A,vanilla,LGBM,0.9666,0.0195,0.9639,0.0212,0.131,569,2,1.68
wdbc,A,vanilla,RFF_binary,0.9438,0.028,0.9389,0.0301,0.076,569,2,1.68
yeast3,B,vanilla,LogReg,0.9434,0.008,0.7226,0.0296,0.002,1484,2,8.1
yeast3,B,vanilla,Bagging,0.9474,0.0101,0.7532,0.0433,0.094,1484,2,8.1
yeast3,B,vanilla,RandomForest,0.9488,0.0086,0.7531,0.0388,0.106,1484,2,8.1
yeast3,B,vanilla,AdaBoost,0.9508,0.0108,0.7808,0.0476,0.055,1484,2,8.1
yeast3,B,vanilla,GradBoost,0.9481,0.0046,0.754,0.0201,0.121,1484,2,8.1
yeast3,B,vanilla,Stacking,0.9488,0.0058,0.7417,0.0379,0.308,1484,2,8.1
yeast3,B,vanilla,XGBoost,0.9447,0.0041,0.7382,0.0211,0.069,1484,2,8.1
yeast3,B,vanilla,LGBM,0.9434,0.0069,0.7302,0.0303,0.114,1484,2,8.1
yeast3,B,vanilla,RFF_binary,0.8902,0.0016,0.0,0.0,0.073,1484,2,8.1
yeast3,B,oversample,LogReg,0.8997,0.009,0.9,0.0092,0.003,2642,2,8.1
yeast3,B,oversample,Bagging,0.9822,0.0052,0.9819,0.0053,0.158,2642,2,8.1
yeast3,B,oversample,RandomForest,0.9837,0.0039,0.9834,0.004,0.142,2642,2,8.1
yeast3,B,oversample,AdaBoost,0.9319,0.0077,0.9331,0.0076,0.066,2642,2,8.1
yeast3,B,oversample,GradBoost,0.9693,0.0033,0.9688,0.0033,0.165,2642,2,8.1
yeast3,B,oversample,Stacking,0.9894,0.0039,0.9893,0.004,0.581,2642,2,8.1
yeast3,B,oversample,XGBoost,0.9799,0.0046,0.9795,0.0048,0.105,2642,2,8.1
yeast3,B,oversample,LGBM,0.9807,0.004,0.9803,0.0042,0.103,2642,2,8.1
yeast3,B,oversample,RFF_binary,0.698,0.0961,0.5562,0.1719,0.138,2642,2,8.1
yeast3,B,cost_sensitive,LogReg,0.9016,0.0129,0.667,0.0393,0.003,1484,2,8.1
yeast3,B,cost_sensitive,Bagging,0.9474,0.0101,0.7532,0.0433,0.094,1484,2,8.1
yeast3,B,cost_sensitive,RandomForest,0.9488,0.0078,0.7446,0.04,0.104,1484,2,8.1
yeast3,B,cost_sensitive,AdaBoost,0.9508,0.0108,0.7808,0.0476,0.057,1484,2,8.1
yeast3,B,cost_sensitive,GradBoost,0.9481,0.0046,0.754,0.0201,0.13,1484,2,8.1
yeast3,B,cost_sensitive,Stacking,0.9495,0.0067,0.7458,0.0426,0.304,1484,2,8.1
yeast3,B,cost_sensitive,XGBoost,0.9447,0.0041,0.7382,0.0211,0.086,1484,2,8.1
yeast3,B,cost_sensitive,LGBM,0.9447,0.0045,0.7533,0.0056,0.104,1484,2,8.1
yeast3,B,cost_sensitive,RFF_binary,0.8902,0.0016,0.0,0.0,0.071,1484,2,8.1
