Dataset,Group,Mode,Algorithm,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Time_s,n_samples,n_classes,IR
abalone20,B,vanilla,LogReg,0.9933,0.001,0.0,0.0,0.005,4177,2,159.65
abalone20,B,vanilla,Bagging,0.9933,0.0006,0.0,0.0,0.233,4177,2,159.65
abalone20,B,vanilla,RandomForest,0.9938,0.0005,0.0,0.0,0.192,4177,2,159.65
abalone20,B,vanilla,AdaBoost,0.9931,0.0009,0.0,0.0,0.119,4177,2,159.65
abalone20,B,vanilla,GradBoost,0.9895,0.0023,0.0,0.0,0.44,4177,2,159.65
abalone20,B,vanilla,Stacking,0.9938,0.0005,0.0,0.0,0.44,4177,2,159.65
abalone20,B,vanilla,XGBoost,0.9926,0.0005,0.0,0.0,0.082,4177,2,159.65
abalone20,B,vanilla,LGBM,0.9933,0.001,0.0,0.0,0.107,4177,2,159.65
abalone20,B,vanilla,RFF_binary,0.9938,0.0005,0.0,0.0,0.465,4177,2,159.65
abalone20,B,oversample,LogReg,0.8497,0.0099,0.8468,0.0119,0.011,8302,2,159.65
abalone20,B,oversample,Bagging,0.996,0.0014,0.996,0.0013,0.342,8302,2,159.65
abalone20,B,oversample,RandomForest,0.9995,0.0005,0.9995,0.0005,0.287,8302,2,159.65
abalone20,B,oversample,AdaBoost,0.9253,0.0074,0.9301,0.0072,0.152,8302,2,159.65
abalone20,B,oversample,GradBoost,0.9863,0.0027,0.9865,0.0027,0.546,8302,2,159.65
abalone20,B,oversample,Stacking,0.9994,0.0007,0.9994,0.0007,3.275,8302,2,159.65
abalone20,B,oversample,XGBoost,0.9961,0.0015,0.9962,0.0014,0.097,8302,2,159.65
abalone20,B,oversample,LGBM,0.9992,0.0005,0.9992,0.0005,0.133,8302,2,159.65
abalone20,B,oversample,RFF_binary,0.6462,0.0158,0.7388,0.0086,0.255,8302,2,159.65
abalone20,B,cost_sensitive,LogReg,0.8674,0.0163,0.0622,0.0219,0.008,4177,2,159.65
abalone20,B,cost_sensitive,Bagging,0.9933,0.0006,0.0,0.0,0.214,4177,2,159.65
abalone20,B,cost_sensitive,RandomForest,0.9938,0.0005,0.0,0.0,0.175,4177,2,159.65
abalone20,B,cost_sensitive,AdaBoost,0.9931,0.0009,0.0,0.0,0.116,4177,2,159.65
abalone20,B,cost_sensitive,GradBoost,0.9895,0.0023,0.0,0.0,0.419,4177,2,159.65
abalone20,B,cost_sensitive,Stacking,0.9938,0.0005,0.0,0.0,0.43,4177,2,159.65
abalone20,B,cost_sensitive,XGBoost,0.9926,0.0005,0.0,0.0,0.077,4177,2,159.65
